Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322076514715,30,M,3000.00,RJ,20.0000,100,2022-09-08,91,30000.00,34500.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,13,376,36208.59,369.10,Sim
322076517715,38,M,2200.00,RJ,24.0000,30,2022-09-08,19,8000.00,9200.00,1,1,0,0,CASADO (A),NULL,N,0.00,13,376,10076.52,341.32,Sim
322076523715,57,F,2800.00,MA,20.0000,200,2022-09-12,193,100000.00,115000.00,8,4,0,3,CASADO (A),Nenhum,N,0.00,5,251,118215.62,2840.00,Nao
322076524715,29,F,6000.00,SP,20.0000,200,2022-09-08,227,200000.00,230000.00,1,1,0,1,CASADO (A),NULL,N,0.00,13,376,242209.73,750.66,Sim
322076528715,40,F,8935.02,RJ,21.0000,80,2022-09-08,68,60000.00,69000.00,8,6,0,3,CASADO (A),NULL,N,0.00,3,71,66348.60,5314.60,Nao
322076531715,45,F,4500.00,SP,23.0000,42,2022-09-08,35,12000.00,13800.00,1,1,0,0,CASADO (A),NULL,N,0.00,13,376,14828.91,357.14,Sim
322076539715,41,M,10000.00,RJ,24.0000,235,2022-09-09,225,300000.00,345000.00,13,5,6,2,CASADO (A),NULL,N,0.00,1,284,354360.81,21793.32,Nao
322076552715,40,M,8000.00,MG,20.0000,180,2022-09-08,225,450000.00,517500.00,2,1,1,1,SOLTEIRO(A),NULL,N,0.00,12,344,541992.17,4982.66,Sim
322076566715,53,F,4000.00,PR,20.0000,200,2022-09-12,193,100000.00,115000.00,12,5,1,1,CASADO (A),Nenhum,N,0.00,2,41,116760.59,4260.00,Nao
322076579715,32,F,2000.00,SP,14.4000,60,2022-09-12,91,30000.00,34500.00,12,1,5,1,UNIÃO ESTAVEL,NULL,N,0.00,2,133,27695.39,7040.34,Nao
322076585715,42,M,1500.00,PB,23.0000,60,2022-09-14,51,9000.00,10350.00,7,3,3,1,UNIÃO ESTAVEL,NULL,N,0.00,7,194,9994.41,1316.55,Sim
322076606715,27,F,1500.00,PA,20.0000,200,2022-09-12,193,100000.00,115000.00,3,1,2,1,SOLTEIRO(A),NULL,N,0.00,11,315,120323.68,1142.52,Sim
322076610715,26,F,4500.00,SP,20.0000,100,2022-09-09,91,40000.00,46000.00,4,2,0,0,SOLTEIRO(A),NULL,N,0.00,10,284,46657.27,1936.00,Sim
322076611715,45,F,2000.00,BA,21.0000,45,2022-09-09,31,15000.00,17250.00,7,2,5,3,SOLTEIRO(A),Nenhum,N,0.00,5,133,11698.53,6946.23,Nao
